gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,89.413,34353,3510,68,3570424,3604712,4701730,4736019,0,45363
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,86.36,29648,3895,56,4073635,4103211,24384,53953,0,35116
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,84.821,25568,3666,73,3462421,3487937,4601081,4626484,0,28476
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.176,25528,4292,72,3529230,3554651,4658226,4683601,0,25432
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,90.603,17643,1580,39,4356644,4374254,269515,287111,0,24236
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.554,25167,4741,63,1146848,1171915,1831156,1856268,0,23176
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.859,21335,3417,68,4681195,4702414,675803,697012,0,21897
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,79.012,24347,4851,85,2185569,2209822,3349497,3373677,0,20720
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.81,20291,3266,78,162268,182436,944564,964754,0,20716
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.623,20464,3395,69,1055030,1075412,1784690,1805073,0,20707
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.857,19810,3172,82,741699,761397,1551266,1570962,0,20247
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,79.389,23094,4560,81,3141065,3164073,4230655,4253633,0,20002
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,77.779,24549,5188,115,2114231,2138658,3252250,3276652,0,19400
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,78.714,22818,4576,120,1509369,1532019,2379495,2402198,0,18965
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.047,17431,2863,24,98153,115560,875572,892933,0,18087
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,87.232,14724,1839,20,259303,274003,1044853,1059558,0,18024
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,85.648,15231,1969,67,4382677,4397794,294806,309932,0,17506
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,87.979,13493,1533,29,2427607,2441029,3600386,3613859,0,16970
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,85.339,14938,2012,63,4339522,4354370,252361,267209,0,16942
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,89.851,12169,1186,22,81729,93871,863463,875608,0,16323
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,84.508,14685,2142,42,3212101,3226704,4323558,4338190,0,16157
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.662,15026,2318,41,2564058,2578971,3751518,3766518,0,15968
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.994,14807,2265,33,275990,290770,1059624,1074351,0,15964
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.794,15611,2552,49,1975186,1990750,2986928,3002450,0,15943
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,77.424,20398,4204,131,437704,457909,1246048,1266236,0,15795
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.576,16032,2940,37,2270523,2286502,3454992,3470901,0,14862
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.938,15796,2777,88,2360765,2376449,3548347,3564019,0,14725
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.348,13932,2176,33,3612611,3626424,4746177,4760082,0,14646
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,84.244,13379,2020,21,1274493,1287846,1951581,1964896,0,14608
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,88.021,11370,1298,24,4187970,4199299,133556,144901,0,14314
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,82.999,13799,2230,39,2536758,2550498,3727204,3740944,0,14237
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,77.611,17808,3885,41,2096314,2114055,3234296,3252067,0,14047
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,84.061,12880,2012,17,138195,151050,920863,933725,0,13932
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.483,12902,1994,60,3492958,3505798,4630777,4643602,0,13513
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,85.262,11881,1658,25,2991708,3003524,4126279,4138130,0,13503
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,81.394,13700,2468,37,4201782,4215451,147058,160706,0,13120
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,81.897,13429,2267,64,1832516,1845853,2799617,2812972,0,13117
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,87.79,10532,1243,27,493355,503861,1298257,1308770,0,13113
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.893,13932,2528,41,2492024,2505904,3653339,3667187,0,13059
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,76.178,17845,4048,69,2403945,2421630,3579385,3597185,0,12888
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,78.404,15466,3253,40,2209830,2225247,3374021,3389447,0,12731
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,79.61,14252,2741,52,1654938,1669135,2593581,2607721,0,12514
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,87.001,10301,1292,22,151126,161394,933736,944021,0,12484
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.247,13709,2562,50,4616655,4630252,617986,631659,0,12421
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,83.395,11810,1903,32,467535,479319,1281505,1293281,0,12365
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,81.138,13106,2322,65,1923190,1936230,2901612,2914632,0,12332
gi|1109557564|ref|NC_003197.2|,CP016762.1,NC_003197.2,Query_115393,80.072,13694,2611,37,1937668,1951338,2915977,2929575,0,12332
