gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,89.832,26348,2569,57,3570417,3596716,3427172,3453457,0.0,35280
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,83.944,26326,3995,78,3461715,3487931,3322036,3348238,0.0,28276
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,90.580,17653,1585,25,4356606,4374243,4171991,4189580,0.0,24296
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,77.836,24201,5097,128,1511720,1535790,1728976,1704913,0.0,19124
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,86.874,15854,1998,37,4073621,4089449,3915501,3931296,0.0,19116
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,80.790,19818,3535,72,1274501,1294199,1146021,1165685,0.0,18496
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,80.458,19374,3641,86,2185574,2204880,2120162,2139457,0.0,17612
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,86.250,14756,1956,21,259298,274003,194849,209581,0.0,17434
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,87.292,13550,1657,25,2427658,2441160,2393202,2406733,0.0,16619
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,84.104,15142,2173,64,4382681,4397781,4196263,4211211,0.0,16377
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,79.069,18074,3618,76,1153916,1171927,1011990,1029960,0.0,15346
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,85.051,13633,1966,28,4089578,4103198,3931300,3944872,0.0,15337
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,77.984,18818,3963,72,3141062,3159833,2947495,2966178,0.0,15095
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,80.686,15336,2754,51,4322703,4337951,4137932,4153146,0.0,14260
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,80.547,15067,2719,67,2532213,2547213,2521467,2536387,0.0,13847
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,81.236,14261,2520,41,4157872,4172036,4001127,4015327,0.0,13609
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,83.351,12878,2088,25,138196,151048,87888,100734,0.0,13495
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,81.583,13748,2384,50,3612730,3626414,3483249,3496911,0.0,13286
gi|16763390|ref|NC_003197.1|,gi|556503834|ref|NC_000913.3|,NC_003197.1,NC_000913.3,85.899,10545,1425,30,493351,503861,446812,457328,0.0,12233
